id,crn,date,subj,sub_num,course,location,section,description,instructor,credit
198,16088,"9:00 - 9:50 AM, F",CDM,041A,CDM 041A,BAINER 1128,A01,Cinema History 1895-1945,"Smoodin, E",4.0
199,17704,"1:10 - 2:00 PM, MWF",CLA,030,CLA 030,PITZER 1010,001,Word Roots,"Brelinski, T",3.0
200,44584,"12:10 - 1:30 PM, TR",CLA,140,CLA 140,VEIMYR 116,001,Homer & Ancient Epic,"Hexter, R",4.0
201,45351,"4:10 - 6:00 PM, TR",CGS,138,CGS 138,WELCTR 1116,001,Consciousness&Cognition,"Pageler, B",4.0
202,17813,TBA,CMN,003V,CMN 003V,ONLINE,A01,Interpersonal Comm Comp,"Theobald, J",4.0
203,17826,TBA,CMN,010V,CMN 010V,TBA,A01,Intro to Communication,"Theobald, J",4.0
204,17833,"9:00 - 10:20 AM, R",CMN,012Y,CMN 012Y,HUTCH 93,A01,Data Visualization,"Frey, S",4.0
205,17883,"10:00 - 11:50 AM, MW",CMN,141,CMN 141,TLC 1214,001,Media Effects,"Cingel, D",4.0
206,44886,"10:30 - 11:50 AM, TR",CMN,143,CMN 143,BAINER 1130,001,Analysis Media Messages,"Cho, J",4.0
207,45481,"9:30 - 10:50 AM, MW",CMN,144,CMN 144,OLSON 205,001,Media Entertainment,"Taylor, L",4.0
208,17893,TBA,CMN,170V,CMN 170V,ONLINE,A01,Digt Tech & Socil Change,"Hilbert, M",4.0
209,17894,"12:10 - 2:00 PM, MW",CMN,174,CMN 174,OLSON 6,001,Social Media,"Shen, C",4.0
